,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-08-15 10:10:00,38422,1859
1,Bayern,2020-08-15 10:10:00,52847,2631
2,Berlin,2020-08-15 10:10:00,10196,224
3,Branden­burg,2020-08-15 10:10:00,3695,169
4,Bremen,2020-08-15 10:10:00,1835,56
5,Hamburg,2020-08-15 10:10:00,5850,264
6,Hessen,2020-08-15 10:10:00,13390,526
7,Meck­lenburg- Vor­pommern,2020-08-15 10:10:00,970,20
8,Nieder­sachsen,2020-08-15 10:10:00,15343,656
9,Nord­rhein-West­falen,2020-08-15 10:10:00,54106,1777
10,Rhein­land-Pfalz,2020-08-15 10:10:00,8095,242
11,Saarland,2020-08-15 10:10:00,2986,174
12,Sachsen,2020-08-15 10:10:00,5719,225
13,Sachsen-Anhalt,2020-08-15 10:10:00,2114,64
14,Schles­wig-Holstein,2020-08-15 10:10:00,3768,158
15,Thüringen,2020-08-15 10:10:00,3492,186
16,Gesamt,2020-08-15 10:10:00,222828,9231
