,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-08-21 10:10:00,39493,1863
1,Bayern,2020-08-21 10:10:00,54416,2632
2,Berlin,2020-08-21 10:10:00,10543,226
3,Branden­burg,2020-08-21 10:10:00,3758,169
4,Bremen,2020-08-21 10:10:00,1885,56
5,Hamburg,2020-08-21 10:10:00,5989,265
6,Hessen,2020-08-21 10:10:00,14260,528
7,Meck­lenburg- Vor­pommern,2020-08-21 10:10:00,984,20
8,Nieder­sachsen,2020-08-21 10:10:00,15885,659
9,Nord­rhein-West­falen,2020-08-21 10:10:00,55936,1790
10,Rhein­land-Pfalz,2020-08-21 10:10:00,8514,242
11,Saarland,2020-08-21 10:10:00,3040,174
12,Sachsen,2020-08-21 10:10:00,5788,225
13,Sachsen-Anhalt,2020-08-21 10:10:00,2155,65
14,Schles­wig-Holstein,2020-08-21 10:10:00,3872,160
15,Thüringen,2020-08-21 10:10:00,3530,186
16,Gesamt,2020-08-21 10:10:00,230048,9260
