,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-08-17 10:10:00,38512,1859
1,Bayern,2020-08-17 10:10:00,52984,2631
2,Berlin,2020-08-17 10:10:00,10253,224
3,Branden­burg,2020-08-17 10:10:00,3703,169
4,Bremen,2020-08-17 10:10:00,1845,56
5,Hamburg,2020-08-17 10:10:00,5887,264
6,Hessen,2020-08-17 10:10:00,13486,526
7,Meck­lenburg- Vor­pommern,2020-08-17 10:10:00,973,20
8,Nieder­sachsen,2020-08-17 10:10:00,15428,656
9,Nord­rhein-West­falen,2020-08-17 10:10:00,54653,1778
10,Rhein­land-Pfalz,2020-08-17 10:10:00,8148,242
11,Saarland,2020-08-17 10:10:00,3000,174
12,Sachsen,2020-08-17 10:10:00,5731,225
13,Sachsen-Anhalt,2020-08-17 10:10:00,2123,64
14,Schles­wig-Holstein,2020-08-17 10:10:00,3790,158
15,Thüringen,2020-08-17 10:10:00,3498,186
16,Gesamt,2020-08-17 10:10:00,224014,9232
