,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-10-13 10:10:00,54939,1903
1,Bayern,2020-10-13 10:10:00,73788,2689
2,Berlin,2020-10-13 10:10:00,18327,234
3,Branden­burg,2020-10-13 10:10:00,4794,169
4,Bremen,2020-10-13 10:10:00,3113,61
5,Hamburg,2020-10-13 10:10:00,9040,277
6,Hessen,2020-10-13 10:10:00,22310,562
7,Meck­lenburg- Vor­pommern,2020-10-13 10:10:00,1416,20
8,Nieder­sachsen,2020-10-13 10:10:00,23265,696
9,Nord­rhein-West­falen,2020-10-13 10:10:00,81192,1917
10,Rhein­land-Pfalz,2020-10-13 10:10:00,12235,257
11,Saarland,2020-10-13 10:10:00,3720,177
12,Sachsen,2020-10-13 10:10:00,8559,248
13,Sachsen-Anhalt,2020-10-13 10:10:00,2942,68
14,Schles­wig-Holstein,2020-10-13 10:10:00,5325,162
15,Thüringen,2020-10-13 10:10:00,4488,194
16,Gesamt,2020-10-13 10:10:00,329453,9634
