,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-09-26 10:10:00,48467,1877
1,Bayern,2020-09-26 10:10:00,67005,2657
2,Berlin,2020-09-26 10:10:00,13970,228
3,Branden­burg,2020-09-26 10:10:00,4203,169
4,Bremen,2020-09-26 10:10:00,2320,59
5,Hamburg,2020-09-26 10:10:00,7550,269
6,Hessen,2020-09-26 10:10:00,18396,549
7,Meck­lenburg- Vor­pommern,2020-09-26 10:10:00,1151,20
8,Nieder­sachsen,2020-09-26 10:10:00,19748,683
9,Nord­rhein-West­falen,2020-09-26 10:10:00,67903,1863
10,Rhein­land-Pfalz,2020-09-26 10:10:00,10439,251
11,Saarland,2020-09-26 10:10:00,3288,176
12,Sachsen,2020-09-26 10:10:00,7052,233
13,Sachsen-Anhalt,2020-09-26 10:10:00,2536,67
14,Schles­wig-Holstein,2020-09-26 10:10:00,4656,161
15,Thüringen,2020-09-26 10:10:00,4046,190
16,Gesamt,2020-09-26 10:10:00,282730,9452
