,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-08-28 10:10:00,41248,1864
1,Bayern,2020-08-28 10:10:00,56639,2636
2,Berlin,2020-08-28 10:10:00,11011,226
3,Branden­burg,2020-08-28 10:10:00,3857,169
4,Bremen,2020-08-28 10:10:00,1958,56
5,Hamburg,2020-08-28 10:10:00,6167,266
6,Hessen,2020-08-28 10:10:00,15232,530
7,Meck­lenburg- Vor­pommern,2020-08-28 10:10:00,1001,20
8,Nieder­sachsen,2020-08-28 10:10:00,16506,660
9,Nord­rhein-West­falen,2020-08-28 10:10:00,58187,1808
10,Rhein­land-Pfalz,2020-08-28 10:10:00,8874,243
11,Saarland,2020-08-28 10:10:00,3112,174
12,Sachsen,2020-08-28 10:10:00,5905,225
13,Sachsen-Anhalt,2020-08-28 10:10:00,2218,65
14,Schles­wig-Holstein,2020-08-28 10:10:00,4000,160
15,Thüringen,2020-08-28 10:10:00,3592,186
16,Gesamt,2020-08-28 10:10:00,239507,9288
