,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-08-08 16:10:00,37749,1858
1,Bayern,2020-08-08 16:10:00,51794,2626
2,Berlin,2020-08-08 16:10:00,9640,224
3,Branden­burg,2020-08-08 16:10:00,3622,169
4,Bremen,2020-08-08 16:10:00,1800,56
5,Hamburg,2020-08-08 16:10:00,5610,262
6,Hessen,2020-08-08 16:10:00,12602,524
7,Meck­lenburg- Vor­pommern,2020-08-08 16:10:00,930,20
8,Nieder­sachsen,2020-08-08 16:10:00,14911,654
9,Nord­rhein-West­falen,2020-08-08 16:10:00,51330,1759
10,Rhein­land-Pfalz,2020-08-08 16:10:00,7748,239
11,Saarland,2020-08-08 16:10:00,2913,174
12,Sachsen,2020-08-08 16:10:00,5632,225
13,Sachsen-Anhalt,2020-08-08 16:10:00,2057,64
14,Schles­wig-Holstein,2020-08-08 16:10:00,3578,158
15,Thüringen,2020-08-08 16:10:00,3420,183
16,Gesamt,2020-08-08 16:10:00,215336,9195
