,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-04-13 10:10:00,24570,677
1,Bayern,2020-04-13 10:10:00,33015,820
2,Berlin,2020-04-13 10:10:00,4601,51
3,Brandenburg,2020-04-13 10:10:00,1880,38
4,Bremen,2020-04-13 10:10:00,486,17
5,Hamburg,2020-04-13 10:10:00,3770,56
6,Hessen,2020-04-13 10:10:00,6114,135
7,Mecklenburg- Vor­pommern,2020-04-13 10:10:00,618,11
8,Niedersachsen,2020-04-13 10:10:00,7723,201
9,Nordrhein-West­falen,2020-04-13 10:10:00,24883,518
10,Rhein­land-Pfalz,2020-04-13 10:10:00,4810,68
11,Saarland,2020-04-13 10:10:00,2079,44
12,Sachsen,2020-04-13 10:10:00,3655,68
13,Sachsen-Anhalt,2020-04-13 10:10:00,1193,24
14,Schles­wig-Holstein,2020-04-13 10:10:00,2134,44
15,Thüringen,2020-04-13 10:10:00,1485,27
16,Gesamt,2020-04-13 10:10:00,123016,2799
