,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-04-05 10:10:00,18614,367
1,Bayern,2020-04-05 10:10:00,23846,396
2,Berlin,2020-04-05 10:10:00,3613,24
3,Brandenburg,2020-04-05 10:10:00,1305,17
4,Bremen,2020-04-05 10:10:00,394,6
5,Hamburg,2020-04-05 10:10:00,2945,19
6,Hessen,2020-04-05 10:10:00,4575,56
7,Mecklenburg- Vor­pommern,2020-04-05 10:10:00,523,5
8,Niedersachsen,2020-04-05 10:10:00,5712,89
9,Nordrhein-West­falen,2020-04-05 10:10:00,18735,245
10,Rhein­land-Pfalz,2020-04-05 10:10:00,3663,32
11,Saarland,2020-04-05 10:10:00,1358,14
12,Sachsen,2020-04-05 10:10:00,2741,32
13,Sachsen-Anhalt,2020-04-05 10:10:00,919,12
14,Schles­wig-Holstein,2020-04-05 10:10:00,1631,18
15,Thüringen,2020-04-05 10:10:00,1140,10
16,Gesamt,2020-04-05 10:10:00,91714,1342
