,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-04-22 10:10:00,28898,1063
1,Bayern,2020-04-22 10:10:00,38814,1424
2,Berlin,2020-04-22 10:10:00,5312,105
3,Brandenburg,2020-04-22 10:10:00,2389,74
4,Bremen,2020-04-22 10:10:00,624,26
5,Hamburg,2020-04-22 10:10:00,4204,91
6,Hessen,2020-04-22 10:10:00,7380,265
7,Mecklenburg- Vor­pommern,2020-04-22 10:10:00,656,15
8,Niedersachsen,2020-04-22 10:10:00,9236,328
9,Nordrhein-West­falen,2020-04-22 10:10:00,30185,964
10,Rhein­land-Pfalz,2020-04-22 10:10:00,5593,122
11,Saarland,2020-04-22 10:10:00,2367,97
12,Sachsen,2020-04-22 10:10:00,4273,122
13,Sachsen-Anhalt,2020-04-22 10:10:00,1395,33
14,Schles­wig-Holstein,2020-04-22 10:10:00,2496,79
15,Thüringen,2020-04-22 10:10:00,1872,71
16,Gesamt,2020-04-22 10:10:00,145694,4879
