,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-10-06 10:10:00,51191,1894
1,Bayern,2020-10-06 10:10:00,70006,2674
2,Berlin,2020-10-06 10:10:00,15949,231
3,Branden­burg,2020-10-06 10:10:00,4447,169
4,Bremen,2020-10-06 10:10:00,2632,59
5,Hamburg,2020-10-06 10:10:00,8339,273
6,Hessen,2020-10-06 10:10:00,20113,556
7,Meck­lenburg- Vor­pommern,2020-10-06 10:10:00,1293,20
8,Nieder­sachsen,2020-10-06 10:10:00,21284,691
9,Nord­rhein-West­falen,2020-10-06 10:10:00,73842,1886
10,Rhein­land-Pfalz,2020-10-06 10:10:00,11215,256
11,Saarland,2020-10-06 10:10:00,3449,177
12,Sachsen,2020-10-06 10:10:00,7533,239
13,Sachsen-Anhalt,2020-10-06 10:10:00,2764,68
14,Schles­wig-Holstein,2020-10-06 10:10:00,4978,162
15,Thüringen,2020-10-06 10:10:00,4223,191
16,Gesamt,2020-10-06 10:10:00,303258,9546
