,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-08-29 16:10:00,41574,1862
1,Bayern,2020-08-29 16:10:00,56972,2638
2,Berlin,2020-08-29 16:10:00,11125,226
3,Branden­burg,2020-08-29 16:10:00,3867,169
4,Bremen,2020-08-29 16:10:00,1980,56
5,Hamburg,2020-08-29 16:10:00,6193,266
6,Hessen,2020-08-29 16:10:00,15351,530
7,Meck­lenburg- Vor­pommern,2020-08-29 16:10:00,1004,20
8,Nieder­sachsen,2020-08-29 16:10:00,16628,660
9,Nord­rhein-West­falen,2020-08-29 16:10:00,58452,1809
10,Rhein­land-Pfalz,2020-08-29 16:10:00,8928,243
11,Saarland,2020-08-29 16:10:00,3126,174
12,Sachsen,2020-08-29 16:10:00,5934,225
13,Sachsen-Anhalt,2020-08-29 16:10:00,2226,65
14,Schles­wig-Holstein,2020-08-29 16:10:00,4015,160
15,Thüringen,2020-08-29 16:10:00,3611,186
16,Gesamt,2020-08-29 16:10:00,240986,9289
