,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-04-06 10:10:00,19395,387
1,Bayern,2020-04-06 10:10:00,24974,437
2,Berlin,2020-04-06 10:10:00,3670,26
3,Brandenburg,2020-04-06 10:10:00,1345,19
4,Bremen,2020-04-06 10:10:00,397,8
5,Hamburg,2020-04-06 10:10:00,2993,19
6,Hessen,2020-04-06 10:10:00,4674,61
7,Mecklenburg- Vor­pommern,2020-04-06 10:10:00,528,6
8,Niedersachsen,2020-04-06 10:10:00,5960,92
9,Nordrhein-West­falen,2020-04-06 10:10:00,19384,255
10,Rhein­land-Pfalz,2020-04-06 10:10:00,3882,32
11,Saarland,2020-04-06 10:10:00,1483,14
12,Sachsen,2020-04-06 10:10:00,2903,34
13,Sachsen-Anhalt,2020-04-06 10:10:00,956,12
14,Schles­wig-Holstein,2020-04-06 10:10:00,1671,20
15,Thüringen,2020-04-06 10:10:00,1176,12
16,Gesamt,2020-04-06 10:10:00,95391,1434
