,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-08-13 10:10:00,38162,1859
1,Bayern,2020-08-13 10:10:00,52436,2627
2,Berlin,2020-08-13 10:10:00,9976,224
3,Branden­burg,2020-08-13 10:10:00,3651,169
4,Bremen,2020-08-13 10:10:00,1822,56
5,Hamburg,2020-08-13 10:10:00,5774,262
6,Hessen,2020-08-13 10:10:00,13008,526
7,Meck­lenburg- Vor­pommern,2020-08-13 10:10:00,954,20
8,Nieder­sachsen,2020-08-13 10:10:00,15176,655
9,Nord­rhein-West­falen,2020-08-13 10:10:00,53123,1767
10,Rhein­land-Pfalz,2020-08-13 10:10:00,7974,240
11,Saarland,2020-08-13 10:10:00,2955,174
12,Sachsen,2020-08-13 10:10:00,5685,225
13,Sachsen-Anhalt,2020-08-13 10:10:00,2090,64
14,Schles­wig-Holstein,2020-08-13 10:10:00,3714,158
15,Thüringen,2020-08-13 10:10:00,3464,185
16,Gesamt,2020-08-13 10:10:00,219964,9211
