,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-07-18 16:10:00,36342,1838
1,Bayern,2020-07-18 16:10:00,49702,2616
2,Berlin,2020-07-18 16:10:00,8748,221
3,Branden­burg,2020-07-18 16:10:00,3476,167
4,Bremen,2020-07-18 16:10:00,1709,55
5,Hamburg,2020-07-18 16:10:00,5237,261
6,Hessen,2020-07-18 16:10:00,11371,514
7,Meck­lenburg- Vor­pommern,2020-07-18 16:10:00,806,20
8,Nieder­sachsen,2020-07-18 16:10:00,13952,644
9,Nord­rhein-West­falen,2020-07-18 16:10:00,45910,1712
10,Rhein­land-Pfalz,2020-07-18 16:10:00,7293,238
11,Saarland,2020-07-18 16:10:00,2828,174
12,Sachsen,2020-07-18 16:10:00,5488,225
13,Sachsen-Anhalt,2020-07-18 16:10:00,1939,62
14,Schles­wig-Holstein,2020-07-18 16:10:00,3251,154
15,Thüringen,2020-07-18 16:10:00,3320,182
16,Gesamt,2020-07-18 16:10:00,201372,9083
