,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-09-02 10:10:00,42367,1867
1,Bayern,2020-09-02 10:10:00,57781,2641
2,Berlin,2020-09-02 10:10:00,11347,226
3,Branden­burg,2020-09-02 10:10:00,3875,169
4,Bremen,2020-09-02 10:10:00,2015,57
5,Hamburg,2020-09-02 10:10:00,6313,267
6,Hessen,2020-09-02 10:10:00,15692,534
7,Meck­lenburg- Vor­pommern,2020-09-02 10:10:00,1009,20
8,Nieder­sachsen,2020-09-02 10:10:00,16888,662
9,Nord­rhein-West­falen,2020-09-02 10:10:00,59263,1817
10,Rhein­land-Pfalz,2020-09-02 10:10:00,9168,243
11,Saarland,2020-09-02 10:10:00,3157,174
12,Sachsen,2020-09-02 10:10:00,6022,225
13,Sachsen-Anhalt,2020-09-02 10:10:00,2250,65
14,Schles­wig-Holstein,2020-09-02 10:10:00,4064,160
15,Thüringen,2020-09-02 10:10:00,3644,186
16,Gesamt,2020-09-02 10:10:00,244855,9313
