,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-08-06 10:10:00,37574,1851
1,Bayern,2020-08-06 10:10:00,51582,2624
2,Berlin,2020-08-06 10:10:00,9490,224
3,Branden­burg,2020-08-06 10:10:00,3597,168
4,Bremen,2020-08-06 10:10:00,1792,56
5,Hamburg,2020-08-06 10:10:00,5486,261
6,Hessen,2020-08-06 10:10:00,12310,523
7,Meck­lenburg- Vor­pommern,2020-08-06 10:10:00,907,20
8,Nieder­sachsen,2020-08-06 10:10:00,14723,654
9,Nord­rhein-West­falen,2020-08-06 10:10:00,50493,1752
10,Rhein­land-Pfalz,2020-08-06 10:10:00,7667,239
11,Saarland,2020-08-06 10:10:00,2897,174
12,Sachsen,2020-08-06 10:10:00,5570,225
13,Sachsen-Anhalt,2020-08-06 10:10:00,2044,64
14,Schles­wig-Holstein,2020-08-06 10:10:00,3534,158
15,Thüringen,2020-08-06 10:10:00,3401,182
16,Gesamt,2020-08-06 10:10:00,213067,9175
