,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-10-21 10:10:00,61694,1946
1,Bayern,2020-10-21 10:10:00,82102,2726
2,Berlin,2020-10-21 10:10:00,22727,243
3,Branden­burg,2020-10-21 10:10:00,5670,175
4,Bremen,2020-10-21 10:10:00,3725,63
5,Hamburg,2020-10-21 10:10:00,10207,281
6,Hessen,2020-10-21 10:10:00,27307,590
7,Meck­lenburg- Vor­pommern,2020-10-21 10:10:00,1790,21
8,Nieder­sachsen,2020-10-21 10:10:00,26611,719
9,Nord­rhein-West­falen,2020-10-21 10:10:00,94883,1970
10,Rhein­land-Pfalz,2020-10-21 10:10:00,14199,265
11,Saarland,2020-10-21 10:10:00,4467,177
12,Sachsen,2020-10-21 10:10:00,10906,264
13,Sachsen-Anhalt,2020-10-21 10:10:00,3387,71
14,Schles­wig-Holstein,2020-10-21 10:10:00,5989,163
15,Thüringen,2020-10-21 10:10:00,5098,201
16,Gesamt,2020-10-21 10:10:00,380762,9875
