,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-05-30 10:10:00,34718,1748
1,Bayern,2020-05-30 10:10:00,46854,2450
2,Berlin,2020-05-30 10:10:00,6767,197
3,Branden­burg,2020-05-30 10:10:00,3266,155
4,Bremen,2020-05-30 10:10:00,1398,42
5,Hamburg,2020-05-30 10:10:00,5082,246
6,Hessen,2020-05-30 10:10:00,10003,476
7,Meck-lenburg- Vor­pommern,2020-05-30 10:10:00,760,20
8,Nieder-sachsen,2020-05-30 10:10:00,11958,593
9,Nord­rhein-West­falen,2020-05-30 10:10:00,37910,1595
10,Rhein­land-Pfalz,2020-05-30 10:10:00,6695,230
11,Saarland,2020-05-30 10:10:00,2723,163
12,Sachsen,2020-05-30 10:10:00,5297,213
13,Sachsen-Anhalt,2020-05-30 10:10:00,1701,55
14,Schles­wig-Holstein,2020-05-30 10:10:00,3090,145
15,Thüringen,2020-05-30 10:10:00,2974,161
16,Gesamt,2020-05-30 10:10:00,181196,8489
