,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-04-02 10:10:00,14662,241
1,Bayern,2020-04-02 10:10:00,18496,268
2,Berlin,2020-04-02 10:10:00,2970,19
3,Brandenburg,2020-04-02 10:10:00,995,7
4,Bremen,2020-04-02 10:10:00,327,6
5,Hamburg,2020-04-02 10:10:00,2406,14
6,Hessen,2020-04-02 10:10:00,3707,27
7,Mecklenburg- Vor­pommern,2020-04-02 10:10:00,438,3
8,Niedersachsen,2020-04-02 10:10:00,4695,45
9,Nordrhein-West­falen,2020-04-02 10:10:00,15427,161
10,Rhein­land-Pfalz,2020-04-02 10:10:00,3132,26
11,Saarland,2020-04-02 10:10:00,1020,11
12,Sachsen,2020-04-02 10:10:00,2183,18
13,Sachsen-Anhalt,2020-04-02 10:10:00,804,8
14,Schles­wig-Holstein,2020-04-02 10:10:00,1335,11
15,Thüringen,2020-04-02 10:10:00,925,7
16,Gesamt,2020-04-02 10:10:00,73522,872
