,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-04-27 10:10:00,31043,1249
1,Bayern,2020-04-27 10:10:00,41070,1621
2,Berlin,2020-04-27 10:10:00,5638,125
3,Brandenburg,2020-04-27 10:10:00,2721,100
4,Bremen,2020-04-27 10:10:00,754,27
5,Hamburg,2020-04-27 10:10:00,4475,142
6,Hessen,2020-04-27 10:10:00,7979,320
7,Mecklenburg- Vor­pommern,2020-04-27 10:10:00,674,16
8,Niedersachsen,2020-04-27 10:10:00,9847,391
9,Nordrhein-West­falen,2020-04-27 10:10:00,31879,1131
10,Rhein­land-Pfalz,2020-04-27 10:10:00,5879,152
11,Saarland,2020-04-27 10:10:00,2503,121
12,Sachsen,2020-04-27 10:10:00,4458,147
13,Sachsen-Anhalt,2020-04-27 10:10:00,1515,36
14,Schles­wig-Holstein,2020-04-27 10:10:00,2638,98
15,Thüringen,2020-04-27 10:10:00,2120,74
16,Gesamt,2020-04-27 10:10:00,155193,5750
