,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-04-01 16:10:00,13410,197
1,Bayern,2020-04-01 16:10:00,16497,225
2,Berlin,2020-04-01 16:10:00,2754,16
3,Brandenburg,2020-04-01 16:10:00,881,4
4,Bremen,2020-04-01 16:10:00,311,5
5,Hamburg,2020-04-01 16:10:00,2311,14
6,Hessen,2020-04-01 16:10:00,3445,21
7,Mecklenburg- Vor­pommern,2020-04-01 16:10:00,406,3
8,Niedersachsen,2020-04-01 16:10:00,4382,42
9,Nordrhein-West­falen,2020-04-01 16:10:00,14351,134
10,Rhein­land-Pfalz,2020-04-01 16:10:00,2899,23
11,Saarland,2020-04-01 16:10:00,829,8
12,Sachsen,2020-04-01 16:10:00,2034,17
13,Sachsen-Anhalt,2020-04-01 16:10:00,750,7
14,Schles­wig-Holstein,2020-04-01 16:10:00,1246,10
15,Thüringen,2020-04-01 16:10:00,860,6
16,Gesamt,2020-04-01 16:10:00,67366,732
