,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-04-26 10:10:00,30761,1237
1,Bayern,2020-04-26 10:10:00,40912,1596
2,Berlin,2020-04-26 10:10:00,5600,123
3,Brandenburg,2020-04-26 10:10:00,2694,100
4,Bremen,2020-04-26 10:10:00,739,27
5,Hamburg,2020-04-26 10:10:00,4429,140
6,Hessen,2020-04-26 10:10:00,7946,315
7,Mecklenburg- Vor­pommern,2020-04-26 10:10:00,673,16
8,Niedersachsen,2020-04-26 10:10:00,9785,384
9,Nordrhein-West­falen,2020-04-26 10:10:00,31669,1096
10,Rhein­land-Pfalz,2020-04-26 10:10:00,5835,147
11,Saarland,2020-04-26 10:10:00,2482,107
12,Sachsen,2020-04-26 10:10:00,4428,147
13,Sachsen-Anhalt,2020-04-26 10:10:00,1494,36
14,Schles­wig-Holstein,2020-04-26 10:10:00,2630,96
15,Thüringen,2020-04-26 10:10:00,2098,73
16,Gesamt,2020-04-26 10:10:00,154175,5640
