,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-04-23 16:10:00,29443,1113
1,Bayern,2020-04-23 16:10:00,39395,1476
2,Berlin,2020-04-23 16:10:00,5324,105
3,Brandenburg,2020-04-23 16:10:00,2447,84
4,Bremen,2020-04-23 16:10:00,672,27
5,Hamburg,2020-04-23 16:10:00,4286,113
6,Hessen,2020-04-23 16:10:00,7593,286
7,Mecklenburg- Vor­pommern,2020-04-23 16:10:00,659,15
8,Niedersachsen,2020-04-23 16:10:00,9391,340
9,Nordrhein-West­falen,2020-04-23 16:10:00,30584,999
10,Rhein­land-Pfalz,2020-04-23 16:10:00,5643,131
11,Saarland,2020-04-23 16:10:00,2395,99
12,Sachsen,2020-04-23 16:10:00,4327,127
13,Sachsen-Anhalt,2020-04-23 16:10:00,1425,34
14,Schles­wig-Holstein,2020-04-23 16:10:00,2530,84
15,Thüringen,2020-04-23 16:10:00,1932,61
16,Gesamt,2020-04-23 16:10:00,148046,5094
