,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-07-29 10:10:00,37038,1843
1,Bayern,2020-07-29 10:10:00,50696,2621
2,Berlin,2020-07-29 10:10:00,9071,223
3,Branden­burg,2020-07-29 10:10:00,3531,168
4,Bremen,2020-07-29 10:10:00,1758,55
5,Hamburg,2020-07-29 10:10:00,5338,261
6,Hessen,2020-07-29 10:10:00,11806,518
7,Meck­lenburg- Vor­pommern,2020-07-29 10:10:00,849,20
8,Nieder­sachsen,2020-07-29 10:10:00,14305,649
9,Nord­rhein-West­falen,2020-07-29 10:10:00,47965,1730
10,Rhein­land-Pfalz,2020-07-29 10:10:00,7456,239
11,Saarland,2020-07-29 10:10:00,2857,174
12,Sachsen,2020-07-29 10:10:00,5525,225
13,Sachsen-Anhalt,2020-07-29 10:10:00,1997,64
14,Schles­wig-Holstein,2020-07-29 10:10:00,3379,156
15,Thüringen,2020-07-29 10:10:00,3355,182
16,Gesamt,2020-07-29 10:10:00,206926,9128
