,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-09-30 10:10:00,49421,1885
1,Bayern,2020-09-30 10:10:00,67996,2664
2,Berlin,2020-09-30 10:10:00,14500,228
3,Branden­burg,2020-09-30 10:10:00,4258,169
4,Bremen,2020-09-30 10:10:00,2435,59
5,Hamburg,2020-09-30 10:10:00,7837,270
6,Hessen,2020-09-30 10:10:00,18945,551
7,Meck­lenburg- Vor­pommern,2020-09-30 10:10:00,1180,20
8,Nieder­sachsen,2020-09-30 10:10:00,20162,684
9,Nord­rhein-West­falen,2020-09-30 10:10:00,69822,1872
10,Rhein­land-Pfalz,2020-09-30 10:10:00,10698,254
11,Saarland*,2020-09-30 10:10:00,3297,177
12,Sachsen,2020-09-30 10:10:00,7202,234
13,Sachsen-Anhalt,2020-09-30 10:10:00,2619,68
14,Schles­wig-Holstein,2020-09-30 10:10:00,4772,162
15,Thüringen,2020-09-30 10:10:00,4075,191
16,Gesamt,2020-09-30 10:10:00,289219,9488
