,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-08-09 10:10:00,37767,1858
1,Bayern,2020-08-09 10:10:00,51803,2626
2,Berlin,2020-08-09 10:10:00,9688,224
3,Branden­burg,2020-08-09 10:10:00,3626,169
4,Bremen,2020-08-09 10:10:00,1803,56
5,Hamburg,2020-08-09 10:10:00,5664,262
6,Hessen,2020-08-09 10:10:00,12703,525
7,Meck­lenburg- Vor­pommern,2020-08-09 10:10:00,936,20
8,Nieder­sachsen,2020-08-09 10:10:00,14943,654
9,Nord­rhein-West­falen,2020-08-09 10:10:00,51561,1759
10,Rhein­land-Pfalz,2020-08-09 10:10:00,7771,239
11,Saarland,2020-08-09 10:10:00,2926,174
12,Sachsen,2020-08-09 10:10:00,5632,225
13,Sachsen-Anhalt,2020-08-09 10:10:00,2057,64
14,Schles­wig-Holstein,2020-08-09 10:10:00,3586,158
15,Thüringen,2020-08-09 10:10:00,3425,183
16,Gesamt,2020-08-09 10:10:00,215891,9196
