,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg*,2020-12-18 10:10:00,202113,3795
1,Bayern,2020-12-18 10:10:00,278006,5483
2,Berlin,2020-12-18 10:10:00,83697,959
3,Branden­burg,2020-12-18 10:10:00,30092,623
4,Bremen,2020-12-18 10:10:00,12232,165
5,Hamburg,2020-12-18 10:10:00,31044,514
6,Hessen,2020-12-18 10:10:00,115473,2004
7,Meck­lenburg- Vor­pommern,2020-12-18 10:10:00,9227,111
8,Nieder­sachsen,2020-12-18 10:10:00,91188,1576
9,Nord­rhein-West­falen,2020-12-18 10:10:00,339176,5075
10,Rhein­land-Pfalz,2020-12-18 10:10:00,60761,1000
11,Saarland,2020-12-18 10:10:00,17114,338
12,Sachsen,2020-12-18 10:10:00,98877,2013
13,Sachsen-Anhalt,2020-12-18 10:10:00,20855,338
14,Schles­wig-Holstein,2020-12-18 10:10:00,19806,319
15,Thüringen,2020-12-18 10:10:00,30277,625
16,Gesamt,2020-12-18 10:10:00,1439938,24938
