,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-07-28 10:10:00,36917,1841
1,Bayern,2020-07-28 10:10:00,50589,2619
2,Berlin,2020-07-28 10:10:00,9020,223
3,Branden­burg,2020-07-28 10:10:00,3527,168
4,Bremen,2020-07-28 10:10:00,1752,55
5,Hamburg,2020-07-28 10:10:00,5326,261
6,Hessen,2020-07-28 10:10:00,11743,518
7,Meck­lenburg- Vor­pommern,2020-07-28 10:10:00,845,20
8,Nieder­sachsen,2020-07-28 10:10:00,14288,648
9,Nord­rhein-West­falen,2020-07-28 10:10:00,47740,1730
10,Rhein­land-Pfalz,2020-07-28 10:10:00,7442,238
11,Saarland,2020-07-28 10:10:00,2852,174
12,Sachsen,2020-07-28 10:10:00,5518,225
13,Sachsen-Anhalt,2020-07-28 10:10:00,1991,64
14,Schles­wig-Holstein,2020-07-28 10:10:00,3341,156
15,Thüringen,2020-07-28 10:10:00,3351,182
16,Gesamt,2020-07-28 10:10:00,206242,9122
