,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-07-23 10:10:00,36565,1838
1,Bayern,2020-07-23 10:10:00,50049,2618
2,Berlin,2020-07-23 10:10:00,8860,222
3,Branden­burg,2020-07-23 10:10:00,3510,167
4,Bremen,2020-07-23 10:10:00,1727,55
5,Hamburg,2020-07-23 10:10:00,5251,261
6,Hessen,2020-07-23 10:10:00,11534,516
7,Meck­lenburg- Vor­pommern,2020-07-23 10:10:00,815,20
8,Nieder­sachsen,2020-07-23 10:10:00,14133,647
9,Nord­rhein-West­falen,2020-07-23 10:10:00,46615,1721
10,Rhein­land-Pfalz,2020-07-23 10:10:00,7374,238
11,Saarland,2020-07-23 10:10:00,2840,174
12,Sachsen,2020-07-23 10:10:00,5503,225
13,Sachsen-Anhalt,2020-07-23 10:10:00,1973,62
14,Schles­wig-Holstein,2020-07-23 10:10:00,3292,155
15,Thüringen,2020-07-23 10:10:00,3327,182
16,Gesamt,2020-07-23 10:10:00,203368,9101
