,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-10-28 10:10:00,72884,1986
1,Bayern,2020-10-28 10:10:00,96420,2772
2,Berlin,2020-10-28 10:10:00,28064,251
3,Branden­burg,2020-10-28 10:10:00,6957,187
4,Bremen,2020-10-28 10:10:00,4689,66
5,Hamburg,2020-10-28 10:10:00,12153,283
6,Hessen,2020-10-28 10:10:00,35688,629
7,Meck­lenburg- Vor­pommern,2020-10-28 10:10:00,2328,22
8,Nieder­sachsen,2020-10-28 10:10:00,32244,735
9,Nord­rhein-West­falen,2020-10-28 10:10:00,117278,2059
10,Rhein­land-Pfalz,2020-10-28 10:10:00,17789,276
11,Saarland,2020-10-28 10:10:00,5576,181
12,Sachsen,2020-10-28 10:10:00,14409,292
13,Sachsen-Anhalt,2020-10-28 10:10:00,4342,74
14,Schles­wig-Holstein,2020-10-28 10:10:00,7218,167
15,Thüringen,2020-10-28 10:10:00,6200,203
16,Gesamt,2020-10-28 10:10:00,464239,10183
